City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Albany,US,21.16,scattered clouds,42.6001,-73.9662,
4,Saint George,US,52.36,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
8,Vrangel,RU,10.62,clear sky,42.7297,133.0839,"Отель ""БАЛИ"""
11,Narsaq,GL,7.02,clear sky,60.9167,-46.05,Sleep In Narsaq
13,Dubbo,AU,57.33,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
19,Waipawa,NZ,56.03,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
20,Hobart,AU,58.01,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
21,Hasaki,JP,25.2,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
23,Bend,US,46.45,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
24,Tomioka,JP,27.07,few clouds,36.25,138.9,Hotel Amuse Tomioka
26,Mataura,NZ,50.49,scattered clouds,-46.1927,168.8643,Ellie's Villa
27,Gacko,BA,35.33,overcast clouds,43.1672,18.5353,Hotel Metohija
31,Bluff,NZ,50.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
33,Nikolskoye,RU,24.87,light snow,59.7035,30.7861,Tourist House - Sablino
35,Oktyabrskoye,RU,24.94,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
37,Fatsa,TR,42.6,overcast clouds,41.0278,37.5014,Yalcin Resort Hotel
39,New Norfolk,AU,57.65,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
40,Viransehir,TR,38.66,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
48,Homer,US,37.29,clear sky,59.6425,-151.5483,Beluga Lake Lodge
49,Palmer,US,25.65,few clouds,42.1584,-72.3287,Wedgewood Motel
54,Mehamn,NO,22.35,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
56,Kodiak,US,31.51,scattered clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
58,Sohag,EG,54.28,clear sky,26.557,31.6948,Civil Registry - Sohag 1
62,Tezu,IN,55.22,overcast clouds,27.9167,96.1667,Circuit House
65,Tasiilaq,GL,24.96,overcast clouds,65.6145,-37.6368,The Red House
66,Virginia Beach,US,42.85,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
68,Geilo,NO,24.4,light snow,60.5333,8.2076,Havsdalsgrenda Geilo
73,Bay Roberts,CA,50.5,moderate rain,47.5999,-53.2648,Stonewall Inn
75,Tateyama,JP,35.53,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
77,Gat,IL,54.28,broken clouds,31.61,34.7642,OlusHome
81,Pingtung,TW,58.82,few clouds,22.6714,120.4881,Aman Chengshi Motel
83,Hondo,JP,38.95,overcast clouds,32.45,130.2,ホテル河丁
86,Nizhnevartovsk,RU,15.82,light snow,60.9344,76.5531,Luch
88,Hohhot,CN,14.2,broken clouds,40.8106,111.6522,Sheraton Hohhot Hotel
89,Magalia,US,50.16,overcast clouds,39.8121,-121.5783,Paradise Pines RV Park - Price Match
94,Kokkola,FI,29.93,broken clouds,63.8385,23.1307,Hotel Kokkola
97,Kaitangata,NZ,45.28,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
100,Pecos,US,42.3,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
102,Yuanping,CN,25.27,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
103,Palaikastron,GR,52.75,clear sky,35.2,26.25,Marina Village
104,Grand Forks,US,10.33,snow,47.9417,-97.4337,Warrior Inn
105,Te Anau,NZ,39.87,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
107,Koygorodok,RU,9.82,few clouds,60.445,50.9968,
111,Shenjiamen,CN,39.27,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
113,Jasper,US,39.34,clear sky,37.2001,-94.3502,Guest House Motel
116,Jamestown,US,22.51,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
120,Shetpe,KZ,30.43,overcast clouds,44.1667,52.1167,Rtsm Shetpe Analog
122,Tura,IN,50.34,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
126,Westport,US,29.75,few clouds,41.1415,-73.3579,The Westport Inn
132,Sakakah,SA,51.69,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
133,Sayyan,YE,58.35,broken clouds,15.1718,44.3244,ملاطف ابوحورية
135,Codrington,AU,56.62,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
137,Lannion,FR,49.14,clear sky,48.75,-3.4167,Hotel Arcadia
141,Bethel,US,27.1,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
145,Nanortalik,GL,13.42,few clouds,60.1432,-45.2371,Hotel Kap Farvel
147,Olafsvik,IS,30.38,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
