City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,78.64,73,47,12.33,scattered clouds
1,Lompoc,US,34.6391,-120.4579,67.14,52,0,6.91,clear sky
2,Albany,US,42.6001,-73.9662,21.16,62,25,1.99,scattered clouds
3,Hilo,US,19.7297,-155.09,73.62,88,37,1.01,scattered clouds
4,Saint George,US,37.1041,-113.5841,52.36,30,0,1.01,clear sky
5,Ushuaia,AR,-54.8,-68.3,64.06,45,40,14.97,scattered clouds
6,Hervey Bay,AU,-25.2986,152.8535,68.04,58,83,21.0,broken clouds
7,Pangai,TO,-19.8,-174.35,78.53,87,100,26.22,moderate rain
8,Vrangel,RU,42.7297,133.0839,10.62,62,9,18.05,clear sky
9,Dikson,RU,73.5069,80.5464,-18.04,100,98,3.65,overcast clouds
10,Faanui,PF,-16.4833,-151.75,81.03,71,10,18.45,clear sky
11,Narsaq,GL,60.9167,-46.05,7.02,73,0,5.68,clear sky
12,Cape Town,ZA,-33.9258,18.4232,77.88,63,69,1.99,broken clouds
13,Dubbo,AU,-32.25,148.6167,57.33,77,40,9.22,scattered clouds
14,Port Alfred,ZA,-33.5906,26.891,70.23,84,100,24.49,light rain
15,Bambous Virieux,MU,-20.3428,57.7575,80.22,89,75,20.71,light intensity shower rain
16,Kapaa,US,22.0752,-159.319,67.98,75,20,1.01,few clouds
17,Arraial Do Cabo,BR,-22.9661,-42.0278,84.06,70,0,20.71,clear sky
18,Mar Del Plata,AR,-38.0023,-57.5575,65.08,88,100,3.0,moderate rain
19,Waipawa,NZ,-41.4122,175.5153,56.03,96,100,13.04,overcast clouds
20,Hobart,AU,-42.8794,147.3294,58.01,78,40,4.61,scattered clouds
21,Hasaki,JP,35.7333,140.8333,25.2,32,25,8.75,scattered clouds
22,Coahuayana,MX,18.7333,-103.6833,85.48,35,15,4.16,few clouds
23,Bend,US,44.0582,-121.3153,46.45,62,0,1.01,clear sky
24,Tomioka,JP,36.25,138.9,27.07,46,22,4.34,few clouds
25,Prado,BR,-17.3411,-39.2208,78.55,79,74,9.73,broken clouds
26,Mataura,NZ,-46.1927,168.8643,50.49,90,27,1.63,scattered clouds
27,Gacko,BA,43.1672,18.5353,35.33,92,98,4.47,overcast clouds
28,Mahebourg,MU,-20.4081,57.7,80.26,89,75,20.71,light intensity shower rain
