City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Coahuayana,MX,2022-01-30 23:55:52,18.7333,-103.6833,81.95,41,0,4.43
1,Fortuna,US,2022-01-30 23:55:53,40.5982,-124.1573,56.43,80,0,6.91
2,Faanui,PF,2022-01-30 23:55:53,-16.4833,-151.75,80.98,71,17,11.61
3,Pierre,US,2022-01-30 23:55:54,44.3683,-100.351,39.27,54,83,1.01
4,Rikitea,PF,2022-01-30 23:54:55,-23.1203,-134.9692,77.11,71,100,5.77
5,Tadine,NC,2022-01-30 23:55:54,-21.55,167.8833,81.97,79,97,9.26
6,Ushuaia,AR,2022-01-30 23:51:13,-54.8,-68.3,44.26,70,40,28.77
7,Narsaq,GL,2022-01-30 23:54:12,60.9167,-46.05,18.52,83,100,19.66
8,Westport,US,2022-01-30 23:52:07,41.1415,-73.3579,23.76,56,22,4.0
9,Hermanus,ZA,2022-01-30 23:55:55,-34.4187,19.2345,70.9,85,96,13.49
10,Kalemie,CD,2022-01-30 23:55:56,-5.9475,29.1947,69.17,91,100,5.57
11,Huilong,CN,2022-01-30 23:55:56,31.8111,121.655,37.04,66,9,5.12
12,Mocorito,MX,2022-01-30 23:55:57,25.4833,-107.9167,80.2,27,42,8.14
13,Mahebourg,MU,2022-01-30 23:55:57,-20.4081,57.7,79.09,94,75,9.22
14,Bud,US,2022-01-30 23:55:57,39.447,-86.1758,30.67,71,49,6.11
15,Butaritari,KI,2022-01-30 23:55:58,3.0707,172.7902,82.04,76,28,20.92
16,Kaitangata,NZ,2022-01-30 23:55:58,-46.2817,169.8464,69.93,71,18,5.95
17,Mataura,NZ,2022-01-30 23:54:58,-46.1927,168.8643,70.48,54,49,2.42
18,Ayagoz,KZ,2022-01-30 23:55:59,47.9714,80.4392,5.4,100,98,1.07
19,Chuy,UY,2022-01-30 23:55:59,-33.6971,-53.4616,70.97,78,13,14.14
20,Haines Junction,CA,2022-01-30 23:56:00,60.7522,-137.5108,10.35,52,93,12.66
21,Arraial Do Cabo,BR,2022-01-30 23:55:05,-22.9661,-42.0278,74.23,92,94,6.76
22,Kavieng,PG,2022-01-30 23:56:01,-2.5744,150.7967,81.68,76,93,1.72
23,Esperance,AU,2022-01-30 23:56:01,-33.8667,121.9,67.84,77,31,18.3
24,Maldonado,UY,2022-01-30 23:52:01,-34.6667,-54.9167,76.39,71,1,7.85
25,Bredasdorp,ZA,2022-01-30 23:54:58,-34.5322,20.0403,69.28,88,88,8.05
26,Thompson,CA,2022-01-30 23:56:02,55.7435,-97.8558,3.36,78,20,4.61
27,Georgetown,MY,2022-01-30 23:56:03,5.4112,100.3354,78.89,90,20,5.01
28,Clyde River,CA,2022-01-30 23:56:04,70.4692,-68.5914,-21.77,69,20,5.75
29,Severo-Kurilsk,RU,2022-01-30 23:53:58,50.6789,156.125,28.36,95,100,7.45
30,Pangody,RU,2022-01-30 23:56:04,65.85,74.4859,-2.85,97,99,7.4
31,Tolaga Bay,NZ,2022-01-30 23:56:05,-38.3667,178.3,71.35,65,76,8.05
32,Yanliang,CN,2022-01-30 23:56:05,34.6592,109.2292,27.59,50,1,2.13
33,Uvira,CD,2022-01-30 23:56:06,-3.4067,29.1458,70.84,97,100,3.04
34,Vaini,TO,2022-01-30 23:56:06,-21.2,-175.2,80.83,73,100,10.65
35,Khatanga,RU,2022-01-30 23:56:07,71.9667,102.5,-5.31,98,98,8.84
36,San Quintin,MX,2022-01-30 23:56:07,30.4833,-115.95,62.67,54,1,10.29
37,Jamestown,US,2022-01-30 23:54:14,42.097,-79.2353,15.44,85,100,0.0
38,Fare,PF,2022-01-30 23:56:08,-16.7,-151.0167,80.87,71,20,9.46
39,Tiksi,RU,2022-01-30 23:56:09,71.6872,128.8694,-18.56,100,97,4.27
40,Nanortalik,GL,2022-01-30 23:56:10,60.1432,-45.2371,19.22,74,100,20.92
41,Male,MV,2022-01-30 23:56:10,4.1748,73.5089,82.35,78,40,10.36
42,Dukat,RU,2022-01-30 23:56:11,62.55,155.55,-12.87,98,97,4.88
43,Ahipara,NZ,2022-01-30 23:56:11,-35.1667,173.1667,75.9,52,98,13.35
44,Nikolskoye,RU,2022-01-30 23:56:12,59.7035,30.7861,27.39,96,100,5.3
45,Cherskiy,RU,2022-01-30 23:56:12,68.75,161.3,-28.21,99,98,1.63
46,Cape Town,ZA,2022-01-30 23:55:02,-33.9258,18.4232,71.11,78,0,1.99
47,Anadyr,RU,2022-01-30 23:57:13,64.75,177.4833,-14.01,75,0,6.71
48,Ribeira Grande,PT,2022-01-30 23:57:14,38.5167,-28.7,59.74,71,63,23.22
49,Danane,CI,2022-01-30 23:57:14,7.2596,-8.155,69.19,28,52,2.91
